9900000190.0;2
9895000040.0;3
9842300540.0;2
9842300485.0;2
9842300095.0;1
9842300036.0;2
9839301165.0;2
9839301060.0;3
9839301055.0;0
9839300875.0;0
9839300775.0;3
9839300545.0;3
9839300285.0;0
9839300125.0;3
9835801000.0;3
9835800840.0;0
9835800750.0;0
9835800320.0;0
9834201470.0;2
9834201375.0;3
9834201370.0;3
9834201367.0;3
9834201366.0;3
9834201215.0;2
9834201205.0;2
9834201145.0;4
9834201100.0;0
9834200975.0;0
9834200950.0;0
9834200925.0;2
9834200885.0;0
9834200885.0;0
9834200555.0;3
9834200440.0;0
9834200411.0;2
9834200390.0;0
9834200365.0;0
9834200305.0;0
9834200305.0;0
9834200165.0;0
9834200030.0;3
9831200520.0;4
9831200500.0;4
9831200221.0;3
9831200186.0;3
9831200172.0;4
9831200159.0;4
9830200475.0;3
9830200380.0;4
9830200230.0;2
9829201058.0;4
9829201020.0;4
9829200855.0;3
9829200590.0;0
9829200580.0;4
9829200566.0;4
9829200495.0;3
9829200325.0;3
9829200250.0;4
9828702902.0;3
9828702895.0;3
9828702890.0;1
9828702851.0;3
9828702812.0;3
9828702771.0;3
9828702667.0;3
9828702666.0;3
9828702649.0;3
9828702588.0;3
9828702519.0;3
9828702518.0;3
9828702513.0;3
9828702389.0;3
9828702339.0;3
9828702336.0;3
9828702335.0;3
9828702310.0;3
9828702266.0;3
9828702265.0;3
9828702262.0;3
9828702251.0;3
9828702245.0;3
9828702156.0;4
9828702120.0;2
9828702095.0;2
9828702055.0;2
9828701871.0;3
9828701747.0;2
9828701745.0;2
9828701741.0;3
9828701739.0;3
9828701690.0;2
9828701650.0;2
9828701608.0;3
9828701605.0;3
9828701565.0;2
9828701508.0;3
9828701507.0;3
9828701488.0;2
9828701295.0;2
9828701085.0;2
9828700900.0;2
9828700685.0;2
9828700235.0;0
9828700200.0;4
9828700005.0;2
9828202545.0;0
9828202325.0;2
9828202255.0;0
9828202215.0;0
9828202030.0;0
9828201920.0;2
9828201885.0;3
9828201745.0;2
9828201725.0;2
9828201361.0;2
9828201202.0;0
